"id","fqdn/ip","port","severity","finding","cve","cwe"
"cert","www.cli-civaux.fr/87.252.12.28","443","INFO","-----BEGIN CERTIFICATE-----\nMIIHLTCCBZWgAwIBAgIRAO+xm+f667bUXl9MDXg6iM0wDQYJKoZIhvcNAQEMBQAwZTELMAkGA1UEBhMCR0IxGTAXBgNVBAoTEFRCUyBJbnRlcm5ldCBMdGQxOzA5BgNVBAMTMlRCUyBSU0EgT3JnYW5pemF0aW9uIFZhbGlkYXRpb24gU2VjdXJlIFNlcnZlciBDQSAzMB4XDTI0MDMyMTAwMDAwMFoXDTI1MDQwNzIzNTk1OVowXTELMAkGA1UEBhMCRlIxDzANBgNVBAgTBlZpZW5uZTEhMB8GA1UEChMYREVQQVJURU1FTlQgREUgTEEgVklFTk5FMRowGAYDVQQDExF3d3cuY2xpLWNpdmF1eC5mcjCCASIwDQYJKoZIhvcNAQEBBQADggEPADCCAQoCggEBAKVzrTz08+AKAQg4PVG5Rkn+SCCjNb1JD2ksaViwuMgtLMjhgzBGVk9rHfdZ/+6qqvGNDs1gIJch/nzkqQJ+gCgwePSJ3d4Xa6rYNTx2App9r/1QkM2iT5f7MuXmYXSgibqYopo0r8WcWLXJNhQmA8j6YkYGHR/znrgWwl+5ztWiMGoTHAsBF6r6vBQdAcxoCYMDQ2JfG2TcNNFpRDZ4LKSIj+9LtY50h48+7iTVGA/FKmWHNwK+yZDFjSHG8bki1sSn1pU1MXL6KJi/dR3jakuH1rqnLkHnzgyRpvguXhII2Yqx1LHnBMyWTMlKxUhSIegRb/xfV8FLWBa5b751dK8CAwEAAaOCA14wggNaMB8GA1UdIwQYMBaAFICTXSrKjdhKyyqth0LYwDfZYSAVMB0GA1UdDgQWBBS4IC645sb6ymJHqPDQh3tSKQy1lDAOBgNVHQ8BAf8EBAMCBaAwDAYDVR0TAQH/BAIwADAdBgNVHSUEFjAUBggrBgEFBQcDAQYIKwYBBQUHAwIwSQYDVR0gBEIwQDA0BgsrBgEEAbIxAQICbTAlMCMGCCsGAQUFBwIBFhdodHRwczovL3NlY3RpZ28uY29tL0NQUzAIBgZngQwBAgIwVwYDVR0fBFAwTjBMoEqgSIZGaHR0cDovL2NybC5zZWN0aWdvLmNvbS9UQlNSU0FPcmdhbml6YXRpb25WYWxpZGF0aW9uU2VjdXJlU2VydmVyQ0EzLmNybDCBhwYIKwYBBQUHAQEEezB5MFIGCCsGAQUFBzAChkZodHRwOi8vY3J0LnNlY3RpZ28uY29tL1RCU1JTQU9yZ2FuaXphdGlvblZhbGlkYXRpb25TZWN1cmVTZXJ2ZXJDQTMuY3J0MCMGCCsGAQUFBzABhhdodHRwOi8vb2NzcC5zZWN0aWdvLmNvbTArBgNVHREEJDAighF3d3cuY2xpLWNpdmF1eC5mcoINY2xpLWNpdmF1eC5mcjCCAX4GCisGAQQB1nkCBAIEggFuBIIBagFoAHYAzxFW7tUufK/zh1vZaS6b6RpxZ0qwF+ysAdJbd87MOwgAAAGOYcYbIgAABAMARzBFAiAjXGDRvJ/Wz+JcudN2/471DOHpKtSWdeTHGiWF7yS6PgIhAMb99h0dBS+rOigmUOOtMlvS7nSjottV8JAAr5A4y1IUAHYAouMK5EXvva2bfjjtR2d3U9eCW4SU1yteGyzEuVCkR+cAAAGOYcYawQAABAMARzBFAiEAo6ly4QGW9KhCyIZya8O+hiWB1Cds6JCxgfBBjmsCN0oCIDsjaUhhRixjFs6PrJn+iPMb4EFPG3mzP2NKnFY0Sa5aAHYATnWjJ1yaEMM4W2zU3z9S6x3w4I4bjWnAsfpksWKaOd8AAAGOYcYarwAABAMARzBFAiA6FACHQlJaCFMavMoTt8GxdvLv8U/GGezf9CcDmyt2IwIhAIwIsBCxtX5ofB2ki2UZmhImAaD0Er9FpKVVWir0lGCZMA0GCSqGSIb3DQEBDAUAA4IBgQBJf9cUYascTgYL5KNJzJGGqH8DJaqxJy5qbJMTloO1YtGbCC5hEFQQ9JsD7kYDwUGolCgoKFEicAG8cmT6VfCNfS62bQJ4z3SGz4Q9oIBWWVNM+b82lRMsRfYDsrce0xuZ15A2zJ4KwXOh/pkORFfB0napEzzLD8Y1E7Fph6DwLIhw7kffpUBUkpVDPJ8uRDGDY22iXNEAE6J8z3DA+5YXVe6/6e843muIFyeebo8WVg5kwZyhD+TvR1e2LvwQ7G0HgsC/dIkJ/wdyF+sSrl0/fRspbrq6sAjaRhiN+W20ThC0l6lIMsvOPIDBu7KyJncFze4MNH/vwWTd7HYwEs2JfT7/uk7qnzfl6oLX8JWfDTCd5D+4+kgMN5+OMHiV47yXe1qfP+D+lpTwVUKxOPc+OzYXQfls3vczMrOqEPG8xi5xLf5NVx9NV0ejmWV2hrC1fT1n82ONwFHGbW4XxqQ5sq0GH+/JLPLvNJVmXA9/JLU/mgbSplHJ3FUXWupiajg=\n-----END CERTIFICATE-----","",""
"cert_commonName","www.cli-civaux.fr/87.252.12.28","443","OK","www.cli-civaux.fr","",""
"cert_commonName_wo_SNI","www.cli-civaux.fr/87.252.12.28","443","INFO","Plesk","",""
"cert_subjectAltName","www.cli-civaux.fr/87.252.12.28","443","INFO","www.cli-civaux.fr cli-civaux.fr","",""
"cert_trust","www.cli-civaux.fr/87.252.12.28","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_chain_of_trust","www.cli-civaux.fr/87.252.12.28","443","OK","passed.","",""
"cert_certificatePolicies_EV","www.cli-civaux.fr/87.252.12.28","443","INFO","no","",""
"cert_expirationStatus","www.cli-civaux.fr/87.252.12.28","443","OK","357 >= 60 days","",""
"cert_notBefore","www.cli-civaux.fr/87.252.12.28","443","INFO","2024-03-21 00:00","",""
"cert_notAfter","www.cli-civaux.fr/87.252.12.28","443","OK","2025-04-07 23:59","",""
"cert_extlifeSpan","www.cli-civaux.fr/87.252.12.28","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","www.cli-civaux.fr/87.252.12.28","443","INFO","not present","",""
"cert_crlDistributionPoints","www.cli-civaux.fr/87.252.12.28","443","INFO","http://crl.sectigo.com/TBSRSAOrganizationValidationSecureServerCA3.crl","",""
"cert_ocspURL","www.cli-civaux.fr/87.252.12.28","443","INFO","http://ocsp.sectigo.com","",""
"OCSP_stapling","www.cli-civaux.fr/87.252.12.28","443","LOW","not offered","",""
"cert_mustStapleExtension","www.cli-civaux.fr/87.252.12.28","443","INFO","--","",""
"DNS_CAArecord","www.cli-civaux.fr/87.252.12.28","443","LOW","--","",""
"certificate_transparency","www.cli-civaux.fr/87.252.12.28","443","OK","yes (certificate extension)","",""
"certs_countServer","www.cli-civaux.fr/87.252.12.28","443","INFO","3","",""
"certs_list_ordering_problem","www.cli-civaux.fr/87.252.12.28","443","INFO","no","",""
"cert_caIssuers","www.cli-civaux.fr/87.252.12.28","443","INFO","TBS RSA Organization Validation Secure Server CA 3 (TBS Internet Ltd from GB)","",""
